applied_changed_count,blocked_by_family_mismatch_count,blocked_count,count,delta_vs_no_memory,delta_vs_orchestrator,dependency_violation_rate,eligible_count,episode_count,episode_idx,influence_counts,influence_type,mean_score,memory_changed_scheduling_decisions,memory_id,missing_required_agent_rate,no_memory_score,orchestrator_score,order_violation_rate,reason,recovery_success_rate,retrieve_events,retrieved_count,section,shuffled_score,source_family,source_labeled_refs,source_mismatch_rate,source_mismatch_refs,success_rate,support_only_count,task_family,top_memory_id,top_source_family,top_trigger_family,total_retrieved_refs,trigger_family,trigger_match_score_max,trigger_match_score_mean,trigger_match_score_min,trigger_match_score_p25,trigger_match_score_p50,trigger_match_score_p75,trigger_mismatch_rate,trigger_mismatch_refs,unnecessary_agent_calls,variant,verdict
,,,244,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,debugging,,,,,,dynamic_recovery,,,,,,,,,,,,,,,mas_shuffled_memory,
,,,182,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,dynamic_recovery,,,,,,evidence_based_writing,,,,,,,,,,,,,,,mas_shuffled_memory,
,,,154,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,form_submission,,,,,,form_submission,,,,,,,,,,,,,,,mas_shuffled_memory,
,,,215,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,multi_source_conflict,,,,,,multi_source_conflict,,,,,,,,,,,,,,,mas_shuffled_memory,
,,,127,,,,,,,,,,,820afdec-004d-4dd0-a759-670255772865,,,,,,,,,top_retrieved_memory,,debugging,,,,,,dynamic_recovery,,,,,dynamic_recovery,,,,,,,,,,mas_shuffled_memory,
,,,117,,,,,,,,,,,5c40b80b-aa4d-41f5-bdb8-cdf0c5c71904,,,,,,,,,top_retrieved_memory,,debugging,,,,,,dynamic_recovery,,,,,dynamic_recovery,,,,,,,,,,mas_shuffled_memory,
,,,109,,,,,,,,,,,eb8da17d-cd91-4413-8c06-7f127d72cbd9,,,,,,,,,top_retrieved_memory,,multi_source_conflict,,,,,,multi_source_conflict,,,,,multi_source_conflict,,,,,,,,,,mas_shuffled_memory,
,,,106,,,,,,,,,,,ab5b9c04-77b3-4686-9561-d4b529ee9433,,,,,,,,,top_retrieved_memory,,debugging,,,,,,debugging,,,,,debugging,,,,,,,,,,mas_orchestrator_memory,
,,,106,,,,,,,,,,,158dd7a4-a12e-41b3-a62f-8d5ecb6df0b3,,,,,,,,,top_retrieved_memory,,debugging,,,,,,debugging,,,,,debugging,,,,,,,,,,mas_orchestrator_memory,
,,,106,,,,,,,,,,,e71fe44e-da3d-456e-8c06-6fd3585d9e27,,,,,,,,,top_retrieved_memory,,multi_source_conflict,,,,,,multi_source_conflict,,,,,multi_source_conflict,,,,,,,,,,mas_shuffled_memory,
